mean_storage_gib,sampled_mean_recovery_token_layers,exact_mean_recovery_token_layers,g,l
3.99693665,79065.45230103,79275.57480943,5416,42
3.99767486,79063.82122803,79256.94067206,5415,42
4.00876250,79050.56887817,79137.44780555,5400,42
4.01024426,78933.76242065,79135.81280319,5398,42
4.01543042,78905.53979492,79171.03470297,5391,42
4.01990689,78767.24880981,79023.18929181,5385,42
4.03036836,78746.62713623,78916.66269734,5371,42
4.03111726,78678.44216919,78914.65246535,5370,42
4.03336397,78485.70953369,78920.78910721,5367,42
4.03411288,78336.44555664,78925.70754229,5366,42
4.04842388,78176.16915894,78747.21611178,5347,42
4.08734287,78162.85650635,78329.08477992,5296,42
4.09815457,77899.85357666,78258.53845546,5282,42
4.09892781,77823.23477173,78263.36323964,5281,42
4.12308177,77796.09252930,78063.54869645,5250,42
4.12622584,77751.11871338,77964.10906489,5246,42
4.13883199,77702.37326050,77814.43051057,5230,42
4.14120101,77686.50823975,77817.74428526,5227,42
4.14199068,77587.63247681,77822.27429173,5226,42
4.15787848,77486.59951782,77618.34322966,5206,42
4.15867643,77481.03848267,77607.40699259,5205,42
4.15947439,77359.90667725,77599.98108402,5204,42
4.16186825,77217.88180542,77594.86300114,5201,42
4.17549341,76923.35983276,77443.02405098,5184,42
4.18919817,76893.90393066,77372.91507708,5167,42
4.19001002,76875.22918701,77340.89540210,5166,42
4.20219805,76819.51492310,77166.85087715,5151,42
4.20301270,76694.18469238,77160.52319748,5150,42
4.22430289,76503.46029663,76944.55458645,5124,42
4.22512595,76395.45611572,76940.06476294,5123,42
4.26082886,76376.01330566,76575.59413741,5080,42
4.26166604,76374.74954224,76571.84070816,5079,42
4.27005814,76368.79824829,76504.13801286,5069,42
4.27089815,76284.72552490,76507.01598798,5068,42
4.27257819,76165.76022339,76517.25070675,5066,42
4.28355700,76154.12902832,76354.02768697,5053,42
4.28440271,75985.01898193,76352.29292171,5052,42
4.28609558,75865.49359131,76340.17332883,5050,42
4.30909740,75840.85705566,76095.59625340,5023,42
4.32543223,75786.67810059,75927.78587021,5004,42
4.33148115,75624.69317627,75869.15607584,4997,42
4.33581003,75584.69226074,75858.06009494,4992,42
4.34362819,75571.47778320,75756.12906087,4983,42
4.34711441,75501.81723022,75711.95960404,4979,42
4.34885751,75473.33395386,75705.13128087,4977,42
4.34972906,75462.56234741,75703.97469603,4976,42
4.35584768,75459.18014526,75638.97747202,4969,42
4.35672213,75422.70013428,75640.16407584,4968,42
4.36197334,75418.11859131,75639.84928615,4962,42
4.37077588,75267.90139771,75489.65500634,4952,42
4.37165614,75115.53933716,75488.85360115,4951,42
4.37253784,74968.81314087,75477.41796358,4950,42
