storage_gib,recovery_token_layers,g1,g2,l
18.44193824,27284.03590982,1168,1200,33
18.47161913,27227.59102793,1168,1192,33
18.53226236,27082.49232591,1168,1176,33
18.72680440,27050.54750554,1152,1176,33
18.75774907,26969.37230869,1152,1168,33
18.78908886,26924.08807517,1152,1160,33
18.89632303,26891.20283280,1136,1184,33
18.92684543,26858.56580647,1136,1176,33
18.95779010,26766.46488989,1136,1168,33
18.98912989,26695.95477055,1136,1160,33
19.02092942,26672.43856115,1136,1152,33
19.05314519,26533.27754368,1136,1144,33
19.05832483,25950.70723118,1136,1144,34
19.27464231,25888.95970719,1120,1144,34
19.30217095,25875.90277436,1120,1136,34
19.33004772,25769.84024360,1120,1128,34
19.41265657,25753.20363250,1112,1136,34
19.44053334,25729.65134412,1112,1128,34
19.61101536,25479.67097533,1096,1144,34
19.63854399,25427.44942637,1096,1136,34
19.66642076,25399.01574034,1096,1128,34
19.69474432,25377.38372755,1096,1120,34
19.72344902,25273.83353070,1096,1112,34
19.75255589,25271.24076495,1096,1104,34
19.83885780,25234.93002584,1088,1112,34
19.86796467,25215.47508612,1088,1104,34
19.89754444,25116.84221211,1088,1096,34
20.04462037,25029.82180426,1080,1088,34
20.19389104,24935.21202940,1072,1080,34
20.23312114,24903.84919414,1056,1136,34
20.26099792,24881.15492741,1056,1128,34
20.28414105,24841.34165078,1064,1088,34
20.28932147,24838.58184670,1056,1120,34
20.31456217,24793.52942760,1064,1080,34
20.31802617,24751.34196604,1056,1112,34
20.34543985,24737.80892440,1064,1072,34
20.37671282,24667.96118356,1056,1096,34
20.40669658,24622.57249631,1056,1088,34
20.43711769,24566.59811762,1056,1080,34
20.46799538,24473.67375123,1056,1072,34
20.49934632,24417.79318406,1056,1064,34
20.75556852,24375.91420860,1032,1096,34
20.78555228,24311.13861805,1032,1088,34
20.81597339,24275.32399576,1032,1080,34
20.84685108,24207.84260427,1032,1072,34
20.87820202,24146.61425781,1032,1064,34
20.91004254,24117.08349994,1032,1056,34
20.94233891,24014.88132843,1032,1048,34
21.06186891,23974.95031354,1017,1080,34
21.07257300,23956.69620448,1024,1048,34
21.09274660,23937.48145589,1017,1072,34
21.10537381,23921.72508612,1024,1040,34
21.12409754,23877.38128518,1017,1064,34
21.13870518,23867.70410925,1024,1032,34
21.15593806,23838.12592562,1017,1056,34
21.18823443,23761.70698800,1017,1048,34
21.22103524,23716.92627626,1017,1040,34
21.25436661,23703.29187973,1017,1032,34
21.28820205,23605.61103881,1017,1024,34
21.33503598,23203.70303369,1016,1017,35
21.47118833,22984.87596263,1008,1017,35
21.60949105,22829.73840717,1000,1017,35
21.64677960,22811.30128107,1000,1008,35
21.75001767,22730.93913257,992,1017,35
21.82102671,22638.90478900,992,1000,35
21.89284876,22559.67908195,984,1017,35
21.93013731,22543.97328679,984,1008,35
21.96385781,22492.95157173,984,1000,35
21.99812053,22446.34164309,984,992,35
22.22277939,22420.67769593,968,1008,35
22.25649989,22365.80940114,968,1000,35
22.32558720,22278.23029189,968,984,35
22.33962321,22271.98565145,960,1016,35
22.40653991,22238.49564776,960,1000,35
22.44080263,22191.66361651,960,992,35
22.47562721,22132.66195559,960,984,35
22.48805915,22114.44816145,952,1017,35
22.51099678,22084.36994033,960,976,35
22.54697821,22002.92004491,960,968,35
22.62815551,21975.27772822,952,984,35
22.66352507,21917.99404835,952,976,35
22.69950650,21890.27363743,952,968,35
22.73608874,21809.41137119,952,960,35
22.94102187,21808.28817821,936,984,35
22.97639144,21743.77815114,936,976,35
23.01237286,21679.27888933,936,968,35
23.04895511,21677.94781158,936,960,35
23.08614403,21606.45946881,936,952,35
23.12394791,21556.27150744,936,944,35
23.22997670,21536.41536202,920,992,35
23.26480129,21464.06610636,920,984,35
23.30017086,21440.97613958,920,976,35
23.33615228,21382.29694421,920,968,35
23.40992345,21316.69436670,920,952,35
23.44772733,21260.82542600,920,944,35
23.48620546,21236.31819790,920,936,35
23.52531785,21200.51501753,920,928,35
23.63540340,21199.77659018,904,976,35
23.67138483,21143.05467212,904,968,35
23.70796707,21094.45117188,904,960,35
23.74515600,21057.78501784,904,952,35
23.78295988,21017.43197896,904,944,35
23.82143800,20958.97559363,904,936,35
23.86055039,20924.62636873,904,928,35
23.90038080,20884.41518516,904,920,35
23.94086821,20811.12132443,904,912,35
24.07247454,20755.97048782,896,920,35
24.11296196,20727.30633305,896,912,35
24.15420980,20660.24346395,896,904,35
24.24766732,20646.23489019,888,920,35
24.28815474,20620.23765840,888,912,35
24.32940258,20558.02232253,888,904,35
24.37136189,20521.72978439,888,896,35
24.40543677,20118.13800481,888,890,36
24.78285970,19762.97139518,872,890,36
24.79149972,19756.46881152,872,888,36
24.82636060,19749.63647269,872,880,36
25.17432036,19690.93067367,856,890,36
25.18296039,19689.67159049,856,888,36
25.21782127,19658.93893793,856,880,36
25.25336864,19623.50722041,856,872,36
25.28953364,19557.72584738,856,864,36
25.37572167,19350.21842704,848,890,36
25.41922258,19337.30850148,848,880,36
25.45476994,19272.96973425,848,872,36
25.49093495,19258.94162156,848,864,36
25.52779694,19190.91664616,848,856,36
25.73290182,19179.77216874,840,856,36
